"ssn";"emp_fname";"emp_lname";"dname";"pname";"pnumber";"hours"
254937381;"Megan";"Jones";"Sales";"Advertizing";70;40.0
636669233;"Michael";"Morgan";"Research";"EntityAnnot";4;11.0
555555501;"Nandita";"Ball";"Software";"LaserPrinters";92;44.0
666666610;"Naveen";"Drew";"Sales";"OperatingSystem";61;40.0
673466642;"Penny";"Wolowitz";"Software";"SearchEngine";22;4.0
398172999;"Percy";"Liang";"HR";"Advertizing";70;10.0
666884444;"Ramesh";"Narayan";"Research";"ProductZ";3;40.0
666666606;"Ray";"King";"HR";"InkjetPrinters";91;40.0
666666613;"Red";"Bacher";"Sales";"OperatingSystem";61;30.0
666666613;"Red";"Bacher";"Sales";"DatabaseSystems";62;10.0
666666613;"Red";"Bacher";"Sales";"Middleware";63;10.0
214370999;"Richard";"Koelbel";"Administration";"Computerization";10;35.0
999999999;"Roy";"Lewallen";"Sales";"ProductX";1;2.0
999999999;"Roy";"Lewallen";"Sales";"ProductY";2;2.0
999999999;"Roy";"Lewallen";"Sales";"ProductZ";3;4.0
999999999;"Roy";"Lewallen";"Sales";"Computerization";10;4.0
999999999;"Roy";"Lewallen";"Sales";"Reorganization";20;4.0
999999999;"Roy";"Lewallen";"Sales";"Newbenefits";30;4.0
999999999;"Roy";"Lewallen";"Sales";"OperatingSystem";61;4.0
999999999;"Roy";"Lewallen";"Sales";"DatabaseSystems";62;4.0
999999999;"Roy";"Lewallen";"Sales";"Middleware";63;4.0
999999999;"Roy";"Lewallen";"Sales";"Advertizing";70;2.0
999999999;"Roy";"Lewallen";"Sales";"InkjetPrinters";91;2.0
999999999;"Roy";"Lewallen";"Sales";"LaserPrinters";92;1.0
999999999;"Roy";"Lewallen";"Sales";"Human1";95;3.0
444444403;"Sam";"Snedden";"Hardware";"InkjetPrinters";91;40.0
666666612;"Sammy";"Hall";"Sales";"OperatingSystem";61;40.0
849934919;"Sheldon";"Cucuou";"Sales";"Human1";95;23.0
110110110;"Sunil";"Gupta";"Networking";"";0;0.0
222222203;"Tom";"Brand";"Hardware";"DatabaseSystems";62;40.0
234234234;"willie";"Mary";"HR";"Human1";95;35.0
242916639;"Wilson";"Holmes";"Administration";"EntityAnnot";4;5.0
242916639;"Wilson";"Holmes";"Administration";"ConfigMgmt";11;20.0
913353347;"Zach";"Geller";"Software";"SearchEngine";22;30.0
